stimulus type,image,trial type,correct_ans,expr_onset
FACES,FC_022_F11.png,non-target,2,0
FACES,FC_003_M2.png,non-target,2,2.5
FACES,FC_041_M21.png,non-target,2,5
FACES,FC_074_F37.png,non-target,2,7.5
FACES,FC_059_M30.png,non-target,2,10
FACES,FC_041_M21.png,target-lure,2,12.5
FACES,FC_070_F35.png,non-target,2,15
FACES,FC_063_M32.png,non-target,2,17.5
FACES,FC_006_F3.png,non-target,2,20
FACES,FC_006_F3.png,target-lure,2,22.5
FACES,FC_045_M23.png,non-target,2,25
FACES,FC_030_F15.png,non-target,2,27.5
FACES,FC_045_M23.png,target,1,30
FACES,FC_057_M29.png,non-target,2,32.5
FACES,FC_008_F4.png,non-target,2,35
FACES,FC_088_F44.png,non-target,2,37.5
FACES,FC_008_F4.png,target,1,40
FACES,FC_098_F100.png,non-target,2,42.5
FACES,FC_002_F1.png,non-target,2,45
FACES,FC_002_F1.png,target-lure,2,47.5
FACES,FC_014_F7.png,non-target,2,50
FACES,FC_012_F6.png,non-target,2,52.5
FACES,FC_090_F45.png,non-target,2,55
FACES,FC_012_F6.png,target,1,57.5
FACES,FC_051_M26.png,non-target,2,60
FACES,FC_017_M9.png,non-target,2,62.5
FACES,FC_017_M9.png,target-lure,2,65
FACES,FC_051_M26.png,target-lure,2,67.5
FACES,FC_029_M15.png,non-target,2,70
FACES,FC_082_F41.png,non-target,2,72.5
FACES,FC_092_F46.png,non-target,2,75
FACES,FC_082_F41.png,target,1,77.5
FACES,FC_092_F46.png,target,1,80
FACES,FC_099_M98.png,non-target,2,82.5
FACES,FC_102_F103.png,non-target,2,85
