trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans
63,4  +  3,231,1.45,232.45,9        7,232.45,1.45,233.9, ,233.9,234,0.1,2
70,1  +  9,252,1.45,253.45,8        10,253.45,1.45,254.9, ,254.9,255,0.1,2
20,1  +  8,57,1.45,58.45,11        9,58.45,1.45,59.9, ,59.9,60,0.1,2
78,5  +  1,276,1.45,277.45,8        6,277.45,1.45,278.9, ,278.9,279,0.1,2
76,1  +  6,270,1.45,271.45,9        7,271.45,1.45,272.9, ,272.9,273,0.1,2
29,3  +  5,99,1.45,100.45,8        10,100.45,1.45,101.9, ,101.9,102,0.1,1
36,4  +  4,120,1.45,121.45,10        8,121.45,1.45,122.9, ,122.9,123,0.1,2
57,3  +  2,198,1.45,199.45,7        5,199.45,1.45,200.9, ,200.9,201,0.1,2
2,2  +  5,3,1.45,4.45,5        7,4.45,1.45,5.9, ,5.9,6,0.1,2
59,4  +  1,204,1.45,205.45,5        3,205.45,1.45,206.9, ,206.9,207,0.1,1
41,2  +  6,150,1.45,151.45,8        6,151.45,1.45,152.9, ,152.9,153,0.1,1
54,5  +  5,189,1.45,190.45,12        10,190.45,1.45,191.9, ,191.9,192,0.1,2
33,5  +  5,111,1.45,112.45,10        8,112.45,1.45,113.9, ,113.9,114,0.1,1
19,3  +  7,54,1.45,55.45,10        12,55.45,1.45,56.9, ,56.9,57,0.1,1
46,6  +  3,165,1.45,166.45,11        9,166.45,1.45,167.9, ,167.9,168,0.1,2
42,2  +  1,153,1.45,154.45,5        3,154.45,1.45,155.9, ,155.9,156,0.1,2
34,3  +  3,114,1.45,115.45,6        8,115.45,1.45,116.9, ,116.9,117,0.1,1
77,5  +  2,273,1.45,274.45,5        7,274.45,1.45,275.9, ,275.9,276,0.1,2
52,5  +  4,183,1.45,184.45,9        7,184.45,1.45,185.9, ,185.9,186,0.1,1
22,1  +  6,78,1.45,79.45,7        9,79.45,1.45,80.9, ,80.9,81,0.1,1
79,1  +  4,279,1.45,280.45,3        5,280.45,1.45,281.9, ,281.9,282,0.1,2
1,4  +  2,0,1.45,1.45,8        6,1.45,1.45,2.9, ,2.9,3,0.1,2
38,1  +  8,126,1.45,127.45,11        9,127.45,1.45,128.9, ,128.9,129,0.1,2
49,6  +  1,174,1.45,175.45,5        7,175.45,1.45,176.9, ,176.9,177,0.1,2
56,1  +  8,195,1.45,196.45,11        9,196.45,1.45,197.9, ,197.9,198,0.1,2
17,6  +  2,48,1.45,49.45,8        10,49.45,1.45,50.9, ,50.9,51,0.1,1
65,1  +  4,237,1.45,238.45,5        7,238.45,1.45,239.9, ,239.9,240,0.1,1
14,9  +  1,39,1.45,40.45,8        10,40.45,1.45,41.9, ,41.9,42,0.1,2
75,1  +  5,267,1.45,268.45,6        8,268.45,1.45,269.9, ,269.9,270,0.1,1
74,1  +  4,264,1.45,265.45,5        7,265.45,1.45,266.9, ,266.9,267,0.1,1
31,1  +  1,105,1.45,106.45,2        0,106.45,1.45,107.9, ,107.9,108,0.1,1
61,6  +  3,225,1.45,226.45,9        7,226.45,1.45,227.9, ,227.9,228,0.1,1
25,2  +  8,87,1.45,88.45,12        10,88.45,1.45,89.9, ,89.9,90,0.1,2
9,4  +  2,24,1.45,25.45,6        8,25.45,1.45,26.9, ,26.9,27,0.1,1
28,7  +  3,96,1.45,97.45,10        12,97.45,1.45,98.9, ,98.9,99,0.1,1
10,1  +  5,27,1.45,28.45,6        8,28.45,1.45,29.9, ,29.9,30,0.1,1
23,2  +  2,81,1.45,82.45,2        4,82.45,1.45,83.9, ,83.9,84,0.1,2
43,3  +  1,156,1.45,157.45,4        2,157.45,1.45,158.9, ,158.9,159,0.1,1
13,1  +  1,36,1.45,37.45,4        2,37.45,1.45,38.9, ,38.9,39,0.1,2
15,6  +  2,42,1.45,43.45,8        6,43.45,1.45,44.9, ,44.9,45,0.1,1
