stimulus type,image,trial type,correct_ans,expr_onset
FACES,FC_029_M15.png,non-target,2,0
FACES,FC_058_F29.png,non-target,2,2.5
FACES,FC_068_F34.png,non-target,2,5
FACES,FC_019_M10.png,non-target,2,7.5
FACES,FC_058_F29.png,target-lure,2,10
FACES,FC_068_F34.png,target-lure,2,12.5
FACES,FC_059_M30.png,non-target,2,15
FACES,FC_025_M13.png,non-target,2,17.5
FACES,FC_059_M30.png,target,1,20
FACES,FC_097_M97.png,non-target,2,22.5
FACES,FC_025_M13.png,target-lure,2,25
FACES,FC_086_F43.png,non-target,2,27.5
FACES,FC_063_M32.png,non-target,2,30
FACES,FC_092_F46.png,non-target,2,32.5
FACES,FC_053_M27.png,non-target,2,35
FACES,FC_060_F30.png,non-target,2,37.5
FACES,FC_053_M27.png,target,1,40
FACES,FC_011_M6.png,non-target,2,42.5
FACES,FC_011_M6.png,target-lure,2,45
FACES,FC_070_F35.png,non-target,2,47.5
FACES,FC_006_F3.png,non-target,2,50
FACES,FC_070_F35.png,target,1,52.5
FACES,FC_084_F42.png,non-target,2,55
FACES,FC_020_F10.png,non-target,2,57.5
FACES,FC_084_F42.png,target,1,60
FACES,FC_050_F25.png,non-target,2,62.5
FACES,FC_050_F25.png,target-lure,2,65
FACES,FC_071_M36.png,non-target,2,67.5
FACES,FC_034_F17.png,non-target,2,70
FACES,FC_003_M2.png,non-target,2,72.5
FACES,FC_034_F17.png,target,1,75
FACES,FC_018_F9.png,non-target,2,77.5
FACES,FC_037_M19.png,non-target,2,80
FACES,FC_023_M12.png,non-target,2,82.5
FACES,FC_100_F101.png,non-target,2,85
