stimulus type,image,trial type,correct_ans,expr_onset
SCENES2,PL_090_O47.1.png,non-target,2,0
SCENES2,PL_024_SCENE_10.png,non-target,2,2.5
SCENES2,PL_090_O47.1.png,target,1,5
SCENES2,PL_101_O89.1.png,non-target,2,7.5
SCENES2,PL_024_SCENE_10.png,target-lure,2,10
SCENES2,PL_094_O6.1.png,non-target,2,12.5
SCENES2,PL_085_O3.1.png,non-target,2,15
SCENES2,PL_082_O11.1.png,non-target,2,17.5
SCENES2,PL_085_O3.1.png,target,1,20
SCENES2,PL_094_O6.1.png,target-lure,2,22.5
SCENES2,PL_023_SCENE_09.png,non-target,2,25
SCENES2,PL_099_O81.1.png,non-target,2,27.5
SCENES2,PL_079_P72.1.png,non-target,2,30
SCENES2,PL_071_P5.1.png,non-target,2,32.5
SCENES2,PL_079_P72.1.png,target,1,35
SCENES2,PL_071_P5.1.png,target,1,37.5
SCENES2,PL_030_SCENE_40.png,non-target,2,40
SCENES2,PL_070_P46.1.png,non-target,2,42.5
SCENES2,PL_089_O45.1.png,non-target,2,45
SCENES2,PL_025_SCENE_18.png,non-target,2,47.5
SCENES2,PL_070_P46.1.png,target-lure,2,50
SCENES2,PL_076_P66.1.png,non-target,2,52.5
SCENES2,PL_087_O38.1.png,non-target,2,55
SCENES2,PL_015_SCENE_01.png,non-target,2,57.5
SCENES2,PL_096_O69.1.png,non-target,2,60
SCENES2,PL_073_P53.1.png,non-target,2,62.5
SCENES2,PL_092_O50.1.png,non-target,2,65
SCENES2,PL_083_O12.1.png,non-target,2,67.5
SCENES2,PL_100_O82.1.png,non-target,2,70
SCENES2,PL_019_SCENE_05.png,non-target,2,72.5
SCENES2,PL_100_O82.1.png,target,1,75
SCENES2,PL_088_O42.1.png,non-target,2,77.5
SCENES2,PL_018_SCENE_04.png,non-target,2,80
SCENES2,PL_018_SCENE_04.png,target-lure,2,82.5
SCENES2,PL_088_O42.1.png,target-lure,2,85
