stimulus type,image,trial type,correct_ans,expr_onset
SCENES2,PL_019_SCENE_05.png,non-target,2,0
SCENES2,PL_066_P32.1.png,non-target,2,2.5
SCENES2,PL_024_SCENE_10.png,non-target,2,5
SCENES2,PL_068_P39.1.png,non-target,2,7.5
SCENES2,PL_024_SCENE_10.png,target,1,10
SCENES2,PL_021_SCENE_07.png,non-target,2,12.5
SCENES2,PL_023_SCENE_09.png,non-target,2,15
SCENES2,PL_069_P42.1.png,non-target,2,17.5
SCENES2,PL_021_SCENE_07.png,target-lure,2,20
SCENES2,PL_027_SCENE_27.png,non-target,2,22.5
SCENES2,PL_027_SCENE_27.png,target-lure,2,25
SCENES2,PL_025_SCENE_18.png,non-target,2,27.5
SCENES2,PL_074_P60.1.png,non-target,2,30
SCENES2,PL_025_SCENE_18.png,target,1,32.5
SCENES2,PL_074_P60.1.png,target,1,35
SCENES2,PL_065_P0.1.png,non-target,2,37.5
SCENES2,PL_070_P46.1.png,non-target,2,40
SCENES2,PL_015_SCENE_01.png,non-target,2,42.5
SCENES2,PL_073_P53.1.png,non-target,2,45
SCENES2,PL_070_P46.1.png,target-lure,2,47.5
SCENES2,PL_017_SCENE_03.png,non-target,2,50
SCENES2,PL_079_P72.1.png,non-target,2,52.5
SCENES2,PL_100_O82.1.png,non-target,2,55
SCENES2,PL_079_P72.1.png,target,1,57.5
SCENES2,PL_100_O82.1.png,target,1,60
SCENES2,PL_077_P70.1.png,non-target,2,62.5
SCENES2,PL_082_O11.1.png,non-target,2,65
SCENES2,PL_071_P5.1.png,non-target,2,67.5
SCENES2,PL_077_P70.1.png,target-lure,2,70
SCENES2,PL_089_O45.1.png,non-target,2,72.5
SCENES2,PL_029_SCENE_39.png,non-target,2,75
SCENES2,PL_081_O10.1.png,non-target,2,77.5
SCENES2,PL_083_O12.1.png,non-target,2,80
SCENES2,PL_029_SCENE_39.png,target-lure,2,82.5
SCENES2,PL_020_SCENE_06.png,non-target,2,85
